name,district,office,type,photo,campaign_site,x,instagram,tiktok,facebook
Abdul El-Sayed,Michigan,U.S. Senate,federal,,https://abdulforsenate.com/,https://x.com/AbdulElSayed,https://instagram.com/abdulelsayed,https://tiktok.com/@abdulelsayed,
Cori Bush,MO-01,U.S. House of Representatives,federal,,https://www.coribush.org/,https://x.com/CoriBush,https://instagram.com/coribush,,https://facebook.com/RepCori
Claire Valdez,NY-7,U.S. House of Representatives,federal,,https://clairevaldezforcongress.com/,https://x.com/ClaireSVal,https://instagram.com/clairesvaldez,,
Darializa Avila Chevalier,NY-13,U.S. House of Representatives,federal,,,,https://instagram.com/darializaforcongress,,
Brad Lander,NY-10,U.S. House of Representatives,federal,,,https://x.com/bradlander,https://instagram.com/bradlander,,
